education,skills,sector_interest,location,category,district_type,prev_internship,internship_id,required_skills,internship_sector,internship_location,skill_overlap,sector_match,location_score,social_weight,edu_level,label
Diploma,"[""Report Writing"", ""Policy Analysis"", ""Documentation"", ""Community Outreach"", ""Survey Methods"", ""Taxation"", ""Labour Law""]",govt,Chennai,General,Semi-Urban,1,INT-012,"[""SEO"", ""Copywriting"", ""Photography""]",media,Chennai,0.0,0,1.0,0.6,2,0
Diploma,"[""Report Writing"", ""Policy Analysis"", ""Documentation"", ""Community Outreach"", ""Survey Methods"", ""Taxation"", ""Labour Law""]",govt,Chennai,General,Semi-Urban,1,INT-027,"[""Social Media"", ""Content Writing"", ""Video Editing"", ""Photography""]",media,Mumbai,0.0,0,0.3,0.6,2,0
Diploma,"[""Report Writing"", ""Policy Analysis"", ""Documentation"", ""Community Outreach"", ""Survey Methods"", ""Taxation"", ""Labour Law""]",govt,Chennai,General,Semi-Urban,1,INT-002,"[""Labour Law"", ""IP Law""]",legal,Mumbai,0.5,0,0.3,0.6,2,0
Bachelor's,"[""Taxation"", ""Excel"", ""Financial Modeling"", ""Accounting"", ""Tally""]",finance,Jaipur,OBC,Urban,1,INT-023,"[""GIS Mapping"", ""Policy Analysis"", ""Survey Methods""]",govt,Hyderabad,0.0,0,0.3,0.6,3,0
Bachelor's,"[""Taxation"", ""Excel"", ""Financial Modeling"", ""Accounting"", ""Tally""]",finance,Jaipur,OBC,Urban,1,INT-020,"[""Legal Research"", ""Case Analysis"", ""Compliance""]",legal,Bangalore,0.0,0,0.3,0.6,3,0
Bachelor's,"[""Taxation"", ""Excel"", ""Financial Modeling"", ""Accounting"", ""Tally""]",finance,Jaipur,OBC,Urban,1,INT-015,"[""Excel"", ""Financial Modeling"", ""Audit""]",finance,Lucknow,0.6666666666666666,1,0.3,0.6,3,1
Bachelor's,"[""Taxation"", ""Excel"", ""Financial Modeling"", ""Accounting"", ""Tally""]",finance,Jaipur,OBC,Urban,1,INT-048,"[""Contract Drafting"", ""Case Analysis""]",legal,Mumbai,0.0,0,0.3,0.6,3,0
Bachelor's,"[""Taxation"", ""Excel"", ""Financial Modeling"", ""Accounting"", ""Tally""]",finance,Jaipur,OBC,Urban,1,INT-002,"[""Labour Law"", ""IP Law""]",legal,Mumbai,0.0,0,0.3,0.6,3,0
Bachelor's,"[""Taxation"", ""Excel"", ""Financial Modeling"", ""Accounting"", ""Tally""]",finance,Jaipur,OBC,Urban,1,INT-043,"[""Public Health"", ""Nutrition""]",health,Hyderabad,0.0,0,0.3,0.6,3,0
Bachelor's,"[""Taxation"", ""Excel"", ""Financial Modeling"", ""Accounting"", ""Tally""]",finance,Jaipur,OBC,Urban,1,INT-013,"[""Python"", ""Cloud""]",tech,Pune,0.0,0,0.3,0.6,3,0
Bachelor's,"[""Taxation"", ""Excel"", ""Financial Modeling"", ""Accounting"", ""Tally""]",finance,Jaipur,OBC,Urban,1,INT-026,"[""Taxation"", ""Audit"", ""Excel"", ""Tally""]",finance,Remote,0.75,1,0.9,0.6,3,1
Bachelor's,"[""Nutrition"", ""Medical Research"", ""Compliance"", ""Policy Analysis""]",health,Pune,EWS,Semi-Urban,0,INT-008,"[""Case Analysis"", ""IP Law"", ""Contract Drafting"", ""Labour Law""]",legal,Mumbai,0.0,0,0.3,0.7,3,0
Bachelor's,"[""Nutrition"", ""Medical Research"", ""Compliance"", ""Policy Analysis""]",health,Pune,EWS,Semi-Urban,0,INT-017,"[""Machine Learning"", ""Data Analysis""]",tech,Remote,0.0,0,0.9,0.7,3,0
Bachelor's,"[""Nutrition"", ""Medical Research"", ""Compliance"", ""Policy Analysis""]",health,Pune,EWS,Semi-Urban,0,INT-012,"[""SEO"", ""Copywriting"", ""Photography""]",media,Chennai,0.0,0,0.3,0.7,3,0
Bachelor's,"[""Nutrition"", ""Medical Research"", ""Compliance"", ""Policy Analysis""]",health,Pune,EWS,Semi-Urban,0,INT-038,"[""IP Law"", ""Compliance"", ""Contract Drafting"", ""Legal Research""]",legal,Kolkata,0.25,0,0.3,0.7,3,0
Bachelor's,"[""Nutrition"", ""Medical Research"", ""Compliance"", ""Policy Analysis""]",health,Pune,EWS,Semi-Urban,0,INT-049,"[""Contract Drafting"", ""Case Analysis"", ""IP Law"", ""Compliance""]",legal,Chennai,0.25,0,0.3,0.7,3,0
Bachelor's,"[""Nutrition"", ""Medical Research"", ""Compliance"", ""Policy Analysis""]",health,Pune,EWS,Semi-Urban,0,INT-003,"[""Machine Learning"", ""Web Dev""]",tech,Chennai,0.0,0,0.3,0.7,3,0
Bachelor's,"[""Nutrition"", ""Medical Research"", ""Compliance"", ""Policy Analysis""]",health,Pune,EWS,Semi-Urban,0,INT-007,"[""Policy Analysis"", ""GIS Mapping"", ""Community Outreach""]",govt,Pune,0.3333333333333333,0,1.0,0.7,3,0
Bachelor's,"[""Nutrition"", ""Medical Research"", ""Compliance"", ""Policy Analysis""]",health,Pune,EWS,Semi-Urban,0,INT-039,"[""Survey Methods"", ""Policy Analysis"", ""Documentation"", ""Community Outreach""]",govt,Delhi,0.25,0,0.3,0.7,3,0
Bachelor's,"[""Social Media"", ""Photography"", ""SEO"", ""Content Writing"", ""Survey Methods"", ""Excel"", ""Equity Research""]",media,Delhi,ST,Urban,0,INT-024,"[""Taxation"", ""Risk Analysis""]",finance,Mumbai,0.0,0,0.3,0.7,3,0
Bachelor's,"[""Social Media"", ""Photography"", ""SEO"", ""Content Writing"", ""Survey Methods"", ""Excel"", ""Equity Research""]",media,Delhi,ST,Urban,0,INT-028,"[""Report Writing"", ""Survey Methods"", ""Community Outreach"", ""Policy Analysis""]",govt,Mumbai,0.25,0,0.3,0.7,3,0
Bachelor's,"[""Social Media"", ""Photography"", ""SEO"", ""Content Writing"", ""Survey Methods"", ""Excel"", ""Equity Research""]",media,Delhi,ST,Urban,0,INT-005,"[""Policy Analysis"", ""Report Writing"", ""GIS Mapping""]",govt,Hyderabad,0.0,0,0.3,0.7,3,0
Bachelor's,"[""Social Media"", ""Photography"", ""SEO"", ""Content Writing"", ""Survey Methods"", ""Excel"", ""Equity Research""]",media,Delhi,ST,Urban,0,INT-043,"[""Public Health"", ""Nutrition""]",health,Hyderabad,0.0,0,0.3,0.7,3,0
Bachelor's,"[""Social Media"", ""Photography"", ""SEO"", ""Content Writing"", ""Survey Methods"", ""Excel"", ""Equity Research""]",media,Delhi,ST,Urban,0,INT-022,"[""IP Law"", ""Contract Drafting"", ""Labour Law"", ""Compliance""]",legal,Bangalore,0.0,0,0.3,0.7,3,0
Bachelor's,"[""Social Media"", ""Photography"", ""SEO"", ""Content Writing"", ""Survey Methods"", ""Excel"", ""Equity Research""]",media,Delhi,ST,Urban,0,INT-040,"[""Report Writing"", ""Policy Analysis"", ""Survey Methods"", ""GIS Mapping""]",govt,Mumbai,0.25,0,0.3,0.7,3,0
Bachelor's,"[""Social Media"", ""Photography"", ""SEO"", ""Content Writing"", ""Survey Methods"", ""Excel"", ""Equity Research""]",media,Delhi,ST,Urban,0,INT-021,"[""Case Analysis"", ""IP Law"", ""Contract Drafting"", ""Labour Law""]",legal,Mumbai,0.0,0,0.3,0.7,3,0
Bachelor's,"[""Social Media"", ""Photography"", ""SEO"", ""Content Writing"", ""Survey Methods"", ""Excel"", ""Equity Research""]",media,Delhi,ST,Urban,0,INT-047,"[""Risk Analysis"", ""Tally"", ""Audit""]",finance,Lucknow,0.0,0,0.3,0.7,3,0
Bachelor's,"[""Cybersecurity"", ""Cloud"", ""UI/UX"", ""Android Dev"", ""GIS Mapping"", ""Android Dev""]",tech,Chennai,ST,Rural,1,INT-044,"[""SEO"", ""Copywriting""]",media,Kolkata,0.0,0,0.3,1.0,3,0
Bachelor's,"[""Cybersecurity"", ""Cloud"", ""UI/UX"", ""Android Dev"", ""GIS Mapping"", ""Android Dev""]",tech,Chennai,ST,Rural,1,INT-048,"[""Contract Drafting"", ""Case Analysis""]",legal,Mumbai,0.0,0,0.3,1.0,3,0
Bachelor's,"[""Cybersecurity"", ""Cloud"", ""UI/UX"", ""Android Dev"", ""GIS Mapping"", ""Android Dev""]",tech,Chennai,ST,Rural,1,INT-012,"[""SEO"", ""Copywriting"", ""Photography""]",media,Chennai,0.0,0,1.0,1.0,3,0
Bachelor's,"[""Cybersecurity"", ""Cloud"", ""UI/UX"", ""Android Dev"", ""GIS Mapping"", ""Android Dev""]",tech,Chennai,ST,Rural,1,INT-040,"[""Report Writing"", ""Policy Analysis"", ""Survey Methods"", ""GIS Mapping""]",govt,Mumbai,0.25,0,0.3,1.0,3,0
Bachelor's,"[""Cybersecurity"", ""Cloud"", ""UI/UX"", ""Android Dev"", ""GIS Mapping"", ""Android Dev""]",tech,Chennai,ST,Rural,1,INT-037,"[""Accounting"", ""Taxation"", ""Excel""]",finance,Jaipur,0.0,0,0.3,1.0,3,0
Bachelor's,"[""Cybersecurity"", ""Cloud"", ""UI/UX"", ""Android Dev"", ""GIS Mapping"", ""Android Dev""]",tech,Chennai,ST,Rural,1,INT-020,"[""Legal Research"", ""Case Analysis"", ""Compliance""]",legal,Bangalore,0.0,0,0.3,1.0,3,0
Bachelor's,"[""Cybersecurity"", ""Cloud"", ""UI/UX"", ""Android Dev"", ""GIS Mapping"", ""Android Dev""]",tech,Chennai,ST,Rural,1,INT-026,"[""Taxation"", ""Audit"", ""Excel"", ""Tally""]",finance,Remote,0.0,0,0.9,1.0,3,0
Bachelor's,"[""Cybersecurity"", ""Cloud"", ""UI/UX"", ""Android Dev"", ""GIS Mapping"", ""Android Dev""]",tech,Chennai,ST,Rural,1,INT-036,"[""Tally"", ""Taxation"", ""Financial Modeling""]",finance,Pune,0.0,0,0.3,1.0,3,0
Bachelor's,"[""Web Dev"", ""Cybersecurity"", ""Cloud"", ""UI/UX"", ""Social Media"", ""Labour Law"", ""Taxation""]",tech,Lucknow,ST,Rural,0,INT-043,"[""Public Health"", ""Nutrition""]",health,Hyderabad,0.0,0,0.3,1.0,3,0
Bachelor's,"[""Web Dev"", ""Cybersecurity"", ""Cloud"", ""UI/UX"", ""Social Media"", ""Labour Law"", ""Taxation""]",tech,Lucknow,ST,Rural,0,INT-006,"[""Financial Modeling"", ""Accounting"", ""Taxation""]",finance,Mumbai,0.3333333333333333,0,0.3,1.0,3,0
Bachelor's,"[""Web Dev"", ""Cybersecurity"", ""Cloud"", ""UI/UX"", ""Social Media"", ""Labour Law"", ""Taxation""]",tech,Lucknow,ST,Rural,0,INT-019,"[""Community Outreach"", ""Policy Analysis""]",govt,Remote,0.0,0,0.9,1.0,3,0
Bachelor's,"[""Web Dev"", ""Cybersecurity"", ""Cloud"", ""UI/UX"", ""Social Media"", ""Labour Law"", ""Taxation""]",tech,Lucknow,ST,Rural,0,INT-033,"[""Cloud"", ""Machine Learning"", ""Web Dev""]",tech,Chennai,0.6666666666666666,1,0.3,1.0,3,1
Bachelor's,"[""Web Dev"", ""Cybersecurity"", ""Cloud"", ""UI/UX"", ""Social Media"", ""Labour Law"", ""Taxation""]",tech,Lucknow,ST,Rural,0,INT-050,"[""Risk Analysis"", ""Tally"", ""Taxation"", ""Excel""]",finance,Delhi,0.25,0,0.3,1.0,3,0
Bachelor's,"[""Web Dev"", ""Cybersecurity"", ""Cloud"", ""UI/UX"", ""Social Media"", ""Labour Law"", ""Taxation""]",tech,Lucknow,ST,Rural,0,INT-041,"[""Compliance"", ""Legal Research""]",legal,Bhopal,0.0,0,0.3,1.0,3,0
Bachelor's,"[""Web Dev"", ""Cybersecurity"", ""Cloud"", ""UI/UX"", ""Social Media"", ""Labour Law"", ""Taxation""]",tech,Lucknow,ST,Rural,0,INT-040,"[""Report Writing"", ""Policy Analysis"", ""Survey Methods"", ""GIS Mapping""]",govt,Mumbai,0.0,0,0.3,1.0,3,0
Bachelor's,"[""Web Dev"", ""Cybersecurity"", ""Cloud"", ""UI/UX"", ""Social Media"", ""Labour Law"", ""Taxation""]",tech,Lucknow,ST,Rural,0,INT-022,"[""IP Law"", ""Contract Drafting"", ""Labour Law"", ""Compliance""]",legal,Bangalore,0.25,0,0.3,1.0,3,0
Diploma,"[""Web Dev"", ""UI/UX"", ""Data Analysis"", ""Python""]",tech,Chennai,ST,Rural,0,INT-030,"[""Pharmacology"", ""Patient Care"", ""Lab Skills"", ""Public Health""]",health,Bhopal,0.0,0,0.3,1.0,2,0
Diploma,"[""Web Dev"", ""UI/UX"", ""Data Analysis"", ""Python""]",tech,Chennai,ST,Rural,0,INT-027,"[""Social Media"", ""Content Writing"", ""Video Editing"", ""Photography""]",media,Mumbai,0.0,0,0.3,1.0,2,0
Diploma,"[""Web Dev"", ""UI/UX"", ""Data Analysis"", ""Python""]",tech,Chennai,ST,Rural,0,INT-041,"[""Compliance"", ""Legal Research""]",legal,Bhopal,0.0,0,0.3,1.0,2,0
Diploma,"[""Web Dev"", ""UI/UX"", ""Data Analysis"", ""Python""]",tech,Chennai,ST,Rural,0,INT-037,"[""Accounting"", ""Taxation"", ""Excel""]",finance,Jaipur,0.0,0,0.3,1.0,2,0
Diploma,"[""Web Dev"", ""UI/UX"", ""Data Analysis"", ""Python""]",tech,Chennai,ST,Rural,0,INT-013,"[""Python"", ""Cloud""]",tech,Pune,0.5,1,0.3,1.0,2,1
Diploma,"[""Web Dev"", ""UI/UX"", ""Data Analysis"", ""Python""]",tech,Chennai,ST,Rural,0,INT-045,"[""IoT"", ""Machine Learning""]",tech,Mumbai,0.0,1,0.3,1.0,2,0
Diploma,"[""Web Dev"", ""UI/UX"", ""Data Analysis"", ""Python""]",tech,Chennai,ST,Rural,0,INT-025,"[""Data Analysis"", ""UI/UX"", ""IoT"", ""SQL""]",tech,Bangalore,0.5,1,0.3,1.0,2,1
Diploma,"[""Web Dev"", ""UI/UX"", ""Data Analysis"", ""Python""]",tech,Chennai,ST,Rural,0,INT-032,"[""Pharmacology"", ""Nutrition"", ""First Aid""]",health,Remote,0.0,0,0.9,1.0,2,0
Diploma,"[""SEO"", ""Copywriting"", ""Content Writing""]",media,Pune,OBC,Urban,1,INT-004,"[""Community Outreach"", ""Survey Methods""]",govt,Pune,0.0,0,1.0,0.6,2,0
Diploma,"[""SEO"", ""Copywriting"", ""Content Writing""]",media,Pune,OBC,Urban,1,INT-036,"[""Tally"", ""Taxation"", ""Financial Modeling""]",finance,Pune,0.0,0,1.0,0.6,2,0
Diploma,"[""SEO"", ""Copywriting"", ""Content Writing""]",media,Pune,OBC,Urban,1,INT-016,"[""Compliance"", ""IP Law"", ""Labour Law"", ""Contract Drafting""]",legal,Chennai,0.0,0,0.3,0.6,2,0
Diploma,"[""SEO"", ""Copywriting"", ""Content Writing""]",media,Pune,OBC,Urban,1,INT-008,"[""Case Analysis"", ""IP Law"", ""Contract Drafting"", ""Labour Law""]",legal,Mumbai,0.0,0,0.3,0.6,2,0
Diploma,"[""SEO"", ""Copywriting"", ""Content Writing""]",media,Pune,OBC,Urban,1,INT-030,"[""Pharmacology"", ""Patient Care"", ""Lab Skills"", ""Public Health""]",health,Bhopal,0.0,0,0.3,0.6,2,0
Diploma,"[""SEO"", ""Copywriting"", ""Content Writing""]",media,Pune,OBC,Urban,1,INT-009,"[""Nutrition"", ""Patient Care""]",health,Mumbai,0.0,0,0.3,0.6,2,0
Diploma,"[""SEO"", ""Copywriting"", ""Content Writing""]",media,Pune,OBC,Urban,1,INT-046,"[""Report Writing"", ""Documentation"", ""Policy Analysis""]",govt,Chennai,0.0,0,0.3,0.6,2,0
Diploma,"[""SEO"", ""Copywriting"", ""Content Writing""]",media,Pune,OBC,Urban,1,INT-043,"[""Public Health"", ""Nutrition""]",health,Hyderabad,0.0,0,0.3,0.6,2,0
PhD,"[""GIS Mapping"", ""Survey Methods"", ""Community Outreach"", ""Documentation"", ""Accounting"", ""SEO"", ""Social Media""]",govt,Kolkata,OBC,Rural,1,INT-050,"[""Risk Analysis"", ""Tally"", ""Taxation"", ""Excel""]",finance,Delhi,0.0,0,0.3,0.9,5,0
PhD,"[""GIS Mapping"", ""Survey Methods"", ""Community Outreach"", ""Documentation"", ""Accounting"", ""SEO"", ""Social Media""]",govt,Kolkata,OBC,Rural,1,INT-034,"[""Excel"", ""Tally"", ""Taxation""]",finance,Chennai,0.0,0,0.3,0.9,5,0
PhD,"[""GIS Mapping"", ""Survey Methods"", ""Community Outreach"", ""Documentation"", ""Accounting"", ""SEO"", ""Social Media""]",govt,Kolkata,OBC,Rural,1,INT-032,"[""Pharmacology"", ""Nutrition"", ""First Aid""]",health,Remote,0.0,0,0.9,0.9,5,0
PhD,"[""GIS Mapping"", ""Survey Methods"", ""Community Outreach"", ""Documentation"", ""Accounting"", ""SEO"", ""Social Media""]",govt,Kolkata,OBC,Rural,1,INT-041,"[""Compliance"", ""Legal Research""]",legal,Bhopal,0.0,0,0.3,0.9,5,0
PhD,"[""GIS Mapping"", ""Survey Methods"", ""Community Outreach"", ""Documentation"", ""Accounting"", ""SEO"", ""Social Media""]",govt,Kolkata,OBC,Rural,1,INT-016,"[""Compliance"", ""IP Law"", ""Labour Law"", ""Contract Drafting""]",legal,Chennai,0.0,0,0.3,0.9,5,0
PhD,"[""GIS Mapping"", ""Survey Methods"", ""Community Outreach"", ""Documentation"", ""Accounting"", ""SEO"", ""Social Media""]",govt,Kolkata,OBC,Rural,1,INT-018,"[""GIS Mapping"", ""Community Outreach""]",govt,Bhopal,1.0,1,0.3,0.9,5,1
PhD,"[""GIS Mapping"", ""Survey Methods"", ""Community Outreach"", ""Documentation"", ""Accounting"", ""SEO"", ""Social Media""]",govt,Kolkata,OBC,Rural,1,INT-029,"[""Accounting"", ""Equity Research""]",finance,Hyderabad,0.5,0,0.3,0.9,5,0
PhD,"[""GIS Mapping"", ""Survey Methods"", ""Community Outreach"", ""Documentation"", ""Accounting"", ""SEO"", ""Social Media""]",govt,Kolkata,OBC,Rural,1,INT-005,"[""Policy Analysis"", ""Report Writing"", ""GIS Mapping""]",govt,Hyderabad,0.3333333333333333,1,0.3,0.9,5,1
Bachelor's,"[""Case Analysis"", ""Labour Law"", ""IP Law""]",legal,Bangalore,OBC,Urban,1,INT-045,"[""IoT"", ""Machine Learning""]",tech,Mumbai,0.0,0,0.3,0.6,3,0
Bachelor's,"[""Case Analysis"", ""Labour Law"", ""IP Law""]",legal,Bangalore,OBC,Urban,1,INT-010,"[""Copywriting"", ""Graphic Design"", ""Video Editing"", ""SEO""]",media,Hyderabad,0.0,0,0.3,0.6,3,0
Bachelor's,"[""Case Analysis"", ""Labour Law"", ""IP Law""]",legal,Bangalore,OBC,Urban,1,INT-046,"[""Report Writing"", ""Documentation"", ""Policy Analysis""]",govt,Chennai,0.0,0,0.3,0.6,3,0
Bachelor's,"[""Case Analysis"", ""Labour Law"", ""IP Law""]",legal,Bangalore,OBC,Urban,1,INT-014,"[""Audit"", ""Financial Modeling"", ""Tally"", ""Taxation""]",finance,Pune,0.0,0,0.3,0.6,3,0
Bachelor's,"[""Case Analysis"", ""Labour Law"", ""IP Law""]",legal,Bangalore,OBC,Urban,1,INT-005,"[""Policy Analysis"", ""Report Writing"", ""GIS Mapping""]",govt,Hyderabad,0.0,0,0.3,0.6,3,0
Bachelor's,"[""Case Analysis"", ""Labour Law"", ""IP Law""]",legal,Bangalore,OBC,Urban,1,INT-027,"[""Social Media"", ""Content Writing"", ""Video Editing"", ""Photography""]",media,Mumbai,0.0,0,0.3,0.6,3,0
Bachelor's,"[""Case Analysis"", ""Labour Law"", ""IP Law""]",legal,Bangalore,OBC,Urban,1,INT-050,"[""Risk Analysis"", ""Tally"", ""Taxation"", ""Excel""]",finance,Delhi,0.0,0,0.3,0.6,3,0
Bachelor's,"[""Case Analysis"", ""Labour Law"", ""IP Law""]",legal,Bangalore,OBC,Urban,1,INT-022,"[""IP Law"", ""Contract Drafting"", ""Labour Law"", ""Compliance""]",legal,Bangalore,0.5,1,1.0,0.6,3,1
Master's,"[""Policy Analysis"", ""Report Writing"", ""GIS Mapping"", ""Survey Methods"", ""Community Outreach"", ""SEO"", ""Python"", ""Lab Skills""]",govt,Kolkata,ST,Semi-Urban,0,INT-032,"[""Pharmacology"", ""Nutrition"", ""First Aid""]",health,Remote,0.0,0,0.9,0.85,4,0
Master's,"[""Policy Analysis"", ""Report Writing"", ""GIS Mapping"", ""Survey Methods"", ""Community Outreach"", ""SEO"", ""Python"", ""Lab Skills""]",govt,Kolkata,ST,Semi-Urban,0,INT-015,"[""Excel"", ""Financial Modeling"", ""Audit""]",finance,Lucknow,0.0,0,0.3,0.85,4,0
Master's,"[""Policy Analysis"", ""Report Writing"", ""GIS Mapping"", ""Survey Methods"", ""Community Outreach"", ""SEO"", ""Python"", ""Lab Skills""]",govt,Kolkata,ST,Semi-Urban,0,INT-018,"[""GIS Mapping"", ""Community Outreach""]",govt,Bhopal,1.0,1,0.3,0.85,4,1
Master's,"[""Policy Analysis"", ""Report Writing"", ""GIS Mapping"", ""Survey Methods"", ""Community Outreach"", ""SEO"", ""Python"", ""Lab Skills""]",govt,Kolkata,ST,Semi-Urban,0,INT-028,"[""Report Writing"", ""Survey Methods"", ""Community Outreach"", ""Policy Analysis""]",govt,Mumbai,1.0,1,0.3,0.85,4,1
Master's,"[""Policy Analysis"", ""Report Writing"", ""GIS Mapping"", ""Survey Methods"", ""Community Outreach"", ""SEO"", ""Python"", ""Lab Skills""]",govt,Kolkata,ST,Semi-Urban,0,INT-050,"[""Risk Analysis"", ""Tally"", ""Taxation"", ""Excel""]",finance,Delhi,0.0,0,0.3,0.85,4,0
Master's,"[""Policy Analysis"", ""Report Writing"", ""GIS Mapping"", ""Survey Methods"", ""Community Outreach"", ""SEO"", ""Python"", ""Lab Skills""]",govt,Kolkata,ST,Semi-Urban,0,INT-002,"[""Labour Law"", ""IP Law""]",legal,Mumbai,0.0,0,0.3,0.85,4,0
Master's,"[""Policy Analysis"", ""Report Writing"", ""GIS Mapping"", ""Survey Methods"", ""Community Outreach"", ""SEO"", ""Python"", ""Lab Skills""]",govt,Kolkata,ST,Semi-Urban,0,INT-025,"[""Data Analysis"", ""UI/UX"", ""IoT"", ""SQL""]",tech,Bangalore,0.0,0,0.3,0.85,4,0
Master's,"[""Policy Analysis"", ""Report Writing"", ""GIS Mapping"", ""Survey Methods"", ""Community Outreach"", ""SEO"", ""Python"", ""Lab Skills""]",govt,Kolkata,ST,Semi-Urban,0,INT-022,"[""IP Law"", ""Contract Drafting"", ""Labour Law"", ""Compliance""]",legal,Bangalore,0.0,0,0.3,0.85,4,0
Master's,"[""Compliance"", ""Contract Drafting"", ""Legal Research"", ""Community Outreach"", ""Survey Methods"", ""IP Law""]",legal,Delhi,General,Rural,1,INT-009,"[""Nutrition"", ""Patient Care""]",health,Mumbai,0.0,0,0.3,0.75,4,0
Master's,"[""Compliance"", ""Contract Drafting"", ""Legal Research"", ""Community Outreach"", ""Survey Methods"", ""IP Law""]",legal,Delhi,General,Rural,1,INT-030,"[""Pharmacology"", ""Patient Care"", ""Lab Skills"", ""Public Health""]",health,Bhopal,0.0,0,0.3,0.75,4,0
Master's,"[""Compliance"", ""Contract Drafting"", ""Legal Research"", ""Community Outreach"", ""Survey Methods"", ""IP Law""]",legal,Delhi,General,Rural,1,INT-012,"[""SEO"", ""Copywriting"", ""Photography""]",media,Chennai,0.0,0,0.3,0.75,4,0
Master's,"[""Compliance"", ""Contract Drafting"", ""Legal Research"", ""Community Outreach"", ""Survey Methods"", ""IP Law""]",legal,Delhi,General,Rural,1,INT-004,"[""Community Outreach"", ""Survey Methods""]",govt,Pune,1.0,0,0.3,0.75,4,1
Master's,"[""Compliance"", ""Contract Drafting"", ""Legal Research"", ""Community Outreach"", ""Survey Methods"", ""IP Law""]",legal,Delhi,General,Rural,1,INT-017,"[""Machine Learning"", ""Data Analysis""]",tech,Remote,0.0,0,0.9,0.75,4,0
Master's,"[""Compliance"", ""Contract Drafting"", ""Legal Research"", ""Community Outreach"", ""Survey Methods"", ""IP Law""]",legal,Delhi,General,Rural,1,INT-025,"[""Data Analysis"", ""UI/UX"", ""IoT"", ""SQL""]",tech,Bangalore,0.0,0,0.3,0.75,4,0
